37	38
29	3
30	8
1	2
4	30
27	28
24	19
17	35
31	16
33	7
25	1
22	3
23	12
5	33
15	7
30	29
21	19
18	38
21	7
31	25
17	39
15	1
26	32
38	21
5	29
25	27
10	17
26	18
28	31
38	9
24	13
18	9
10	25
33	8
5	20
28	34
13	10
8	28
30	3
31	21
36	22
36	30
9	4
32	37
6	27
32	14
28	33
31	20
5	28
25	33
39	27
35	25
13	1
15	10
39	34
12	4
9	37
39	17
13	3
3	21
10	0
10	0
13	18
35	15
35	24
34	4
12	20
36	24
4	8
26	3
1	11
23	14
36	32
36	27
36	27
20	36
20	36
29	24
30	15
8	4
31	23
32	35
22	13
20	17
11	20
8	14
33	30
38	8
35	8
17	7
23	2
16	5
33	9
16	18
23	29
38	4
13	15
34	9
27	20
39	31
19	1
6	4
30	7
